person_name,time_ms,ecg_raw,ecg_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,1887,1736.920661,,,
unknown,1,1894,1753.425373,,,
unknown,2,1894,1769.296170,,,
unknown,3,1891,1784.279009,,,
unknown,4,1885,1797.883691,,,
unknown,5,1885,1809.619864,,,
unknown,6,1887,1819.421362,,,
unknown,7,1890,1826.869618,,,
unknown,8,1895,1832.127871,,,
unknown,9,1904,1834.982943,,,
unknown,10,1906,1835.915780,,,
unknown,11,1914,1834.906685,,,
unknown,12,1918,1832.414273,,,
unknown,13,1917,1828.599729,,,
unknown,14,1909,1824.098673,,,
unknown,15,1902,1819.196301,,,
unknown,16,1897,1814.200922,,,
unknown,17,1891,1809.492785,,,
unknown,18,1889,1805.287070,,,
unknown,19,1888,1801.922465,,,
unknown,20,1889,1799.363087,,,
unknown,21,1888,1797.876307,,,
unknown,22,1888,1797.151230,,,
unknown,23,1883,1797.313850,,,
unknown,24,1874,1798.104059,,,
unknown,25,1871,1799.491962,,,
unknown,26,1872,1801.057271,,,
unknown,27,1873,1802.672447,,,
unknown,28,1881,1804.203507,,,
unknown,29,1887,1805.444555,,,
unknown,30,1895,1806.273468,,,
unknown,31,1904,1806.516764,,,
unknown,32,1904,1806.254623,,,
unknown,33,1903,1805.352600,,,
unknown,34,1893,1804.089061,,,
unknown,35,1887,1802.430509,,,
unknown,36,1882,1800.548159,,,
unknown,37,1874,1798.512492,,,
unknown,38,1873,1796.657112,,,
unknown,39,1874,1795.103080,,,
unknown,40,1875,1793.857087,,,
unknown,41,1877,1793.085764,,,
unknown,42,1879,1792.792311,,,
unknown,43,1876,1793.079539,,,
unknown,44,1872,1793.836933,,,
unknown,45,1872,1795.120315,,,
unknown,46,1872,1796.641735,,,
unknown,47,1875,1798.377095,,,
unknown,48,1883,1800.184612,,,
unknown,49,1893,1801.957678,,,
unknown,50,1899,1803.484419,,,
unknown,51,1905,1804.641310,,,
unknown,52,1905,1805.381427,,,
unknown,53,1904,1805.565104,,,
unknown,54,1895,1805.296472,,,
unknown,55,1889,1804.487737,,,
unknown,56,1885,1803.240206,,,
unknown,57,1878,1801.537043,,,
unknown,58,1875,1799.675760,,,
unknown,59,1875,1797.701781,,,
unknown,60,1875,1795.712347,,,
unknown,61,1877,1793.826122,,,
unknown,62,1877,1792.223774,,,
unknown,63,1874,1791.020964,,,
unknown,64,1871,1790.234369,,,
unknown,65,1867,1789.987847,,,
unknown,66,1870,1790.090697,,,
unknown,67,1872,1790.603934,,,
unknown,68,1877,1791.459123,,,
unknown,69,1883,1792.636179,,,
unknown,70,1890,1793.858639,,,
unknown,71,1898,1795.070187,,,
unknown,72,1902,1796.208693,,,
unknown,73,1898,1797.157105,,,
unknown,74,1890,1797.813643,,,
unknown,75,1885,1798.081040,,,
unknown,76,1877,1797.976770,,,
unknown,77,1874,1797.413199,,,
unknown,78,1874,1796.585812,,,
unknown,79,1872,1795.465181,,,
unknown,80,1873,1794.152656,,,
unknown,81,1874,1792.692732,,,
unknown,82,1878,1791.357126,,,
unknown,83,1871,1790.226285,,,
unknown,84,1870,1789.336339,,,
unknown,85,1869,1788.815217,,,
unknown,86,1869,1788.755884,,,
